Food_code,Main_food_description,FII,FII score,,
11710481,"Infant formula, powder, made with water, NFS (Similac Go and Grow)",-0.37422827,10.9535468,,
11710605,"Infant formula, Enfamil, NFS",-0.18576819,7.16582346,,
11710620,"Infant formula, NS as to form (Enfamil Newborn)",-0.17283514,6.9058913,,
11710621,"Infant formula, ready-to-feed (Enfamil Newborn)",-0.17283514,6.9058913,,
11710626,"Infant formula, powder, made with water, NFS (Enfamil Newborn)",-0.17283514,6.9058913,,
11710627,"Infant formula, powder, made with tap water (Enfamil Newborn)",-0.17283514,6.9058913,,
11710628,"Infant formula, powder, made with plain bottled water (Enfamil Newborn)",-0.17283514,6.9058913,,
11710629,"Infant formula, powder, made with baby water (Enfamil Newborn)",-0.17283514,6.9058913,,
11710630,"Infant formula, NS as to form (Enfamil Infant)",-0.19102625,7.27150142,,
11710631,"Infant formula, ready-to-feed (Enfamil Infant)",-0.19102625,7.27150142,,
11710632,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",-0.19102625,7.27150142,,
11710633,"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",-0.19102625,7.27150142,,
11710634,"Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)",-0.19189409,7.28894343,,
11710635,"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",-0.18958932,7.24262168,,
11710636,"Infant formula, powder, made with water, NFS (Enfamil Infant)",-0.19102625,7.27150142,,
11710637,"Infant formula, powder, made with tap water (Enfamil Infant)",-0.19102625,7.27150142,,
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",-0.19189409,7.28894343,,
11710639,"Infant formula, powder, made with baby water (Enfamil Infant)",-0.18958932,7.24262168,,
11710660,"Infant formula, NS as to form (Enfamil A.R.)",-0.17507803,6.95096965,,
11710661,"Infant formula, ready-to-feed (Enfamil A.R.)",-0.17507803,6.95096965,,
11710663,"Infant formula, powder, made with water, NFS (Enfamil A.R.)",-0.17507803,6.95096965,,
11710664,"Infant formula, powder, made with tap water (Enfamil A.R.)",-0.17507803,6.95096965,,
11710665,"Infant formula, NS as to form (Enfamil EnfaCare)",-0.28837356,9.22801498,,
11710666,"Infant formula, ready-to-feed (Enfamil EnfaCare)",-0.28837356,9.22801498,,
11710667,"Infant formula, powder, made with water, NFS (Enfamil EnfaCare)",-0.28837356,9.22801498,,
11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",-0.17594587,6.96841164,,
11710669,"Infant formula, powder, made with baby water (Enfamil A.R.)",-0.1736411,6.92208989,,
11710670,"Infant formula, NS as to form (Enfamil Gentlease)",-0.17327268,6.91468512,,
11710671,"Infant formula, ready-to-feed (Enfamil Gentlease)",-0.17327268,6.91468512,,
11710673,"Infant formula, powder, made with water, NFS (Enfamil Gentlease)",-0.17327268,6.91468512,,
11710674,"Infant formula, powder, made with tap water (Enfamil EnfaCare)",-0.28837356,9.22801498,,
11710675,"Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)",-0.28837356,9.22801498,,
11710676,"Infant formula, powder, made with baby water (Enfamil EnfaCare)",-0.28837356,9.22801498,,
11710677,"Infant formula, powder, made with tap water (Enfamil Gentlease)",-0.17327268,6.91468512,,
